,id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
0,4,2022-08-19 04:55:10.500856+00:00,,t,MN,,72834537650263474,648518346496934372,[23676 87528  2404]
1,5,2022-08-19 04:55:10.501727+00:00,,t,MN,,72975206486264775,648518346514306270,[28080 85768  2516]
2,11,2022-08-19 04:55:10.507236+00:00,,t,sensory,,72342438215328533,648518346476657526,[  8717 101723   3740]
3,16,2022-08-19 04:55:10.511439+00:00,,t,MN,,73045643815642075,648518346517437482,[29080 87520  2246]
4,21,2022-08-19 04:55:10.515629+00:00,,t,MN,,72764168704816459,648518346520685366,[20639 87041  2022]
5,23,2022-08-19 04:55:10.517538+00:00,,t,MN,,72834537717220975,648518346494476935,[23021 86342  2506]
6,30,2022-08-19 04:55:10.524045+00:00,,t,local,,72483655599647031,648518346507570297,[ 12336 115173   1671]
7,32,2022-08-19 04:55:10.525794+00:00,,t,"ascending, intersegmental",,73116425480736826,648518346492265234,[31960 98928  3441]
8,47,2022-08-19 04:55:10.540933+00:00,,t,local,,72483656068952220,648518346512118207,[ 12728 115580   2467]
9,53,2022-08-19 04:55:10.546254+00:00,,t,MN,,72553131392891700,648518346489543513,[16070 89176  2350]
10,60,2022-08-19 04:55:10.552189+00:00,,t,"descending, intersegmental",,73186518608862012,648518346481030400,[34110 91870  2054]
11,74,2022-08-19 04:55:10.564548+00:00,,t,MN,,72834674686355627,648518346504092878,[24001 91338  1555]
12,77,2022-08-19 04:55:10.566990+00:00,,t,MN,,73045644016998043,648518346477919895,[29198 86581  2634]
13,80,2022-08-19 04:55:10.569466+00:00,,t,local,,72624255849901904,648518346490341147,[ 18428 110808   1961]
14,81,2022-08-19 04:55:10.570284+00:00,,t,MN,,72834675156195340,648518346504230496,[23456 91041  2493]
15,87,2022-08-19 04:55:10.575523+00:00,,t,MN,,72553200246751248,648518346496059082,[16252 91208  2668]
16,90,2022-08-19 04:55:10.577976+00:00,,t,MN,,72975343925097073,648518346478125293,[27079 88744  2479]
17,91,2022-08-19 04:55:10.578795+00:00,,t,local,,72342849659916462,648518346493401330,[  9520 114248   2076]
18,100,2022-08-19 04:55:10.586556+00:00,,t,MN,,73045781120281440,648518346496195084,[29693 90874  1961]
19,114,2022-08-19 04:55:10.598642+00:00,,t,MN,,72904837406360841,648518346507389983,[24703 85715  1813]
20,116,2022-08-19 04:55:10.600348+00:00,,t,MN,,72693868948514333,648518346477240264,[20124 89508  2559]
21,145,2022-08-19 04:55:10.625211+00:00,,t,MN,,72904974778192622,648518346500725685,[26120 88188  1693]
22,146,2022-08-19 04:55:10.626041+00:00,,t,MN,,72482762716040225,648518346479055568,[13344 89432  2556]
23,150,2022-08-19 04:55:10.629613+00:00,,t,MN,,72764237826748104,648518346496932836,[22012 88216  2724]
24,158,2022-08-19 04:55:10.636343+00:00,,t,MN,,72764237289721501,648518346486850812,[22264 89998  1676]
25,163,2022-08-19 04:55:10.640906+00:00,,t,local,,72905181808826383,648518346491793832,[26288 94336  3338]
26,165,2022-08-19 04:55:10.642565+00:00,,t,local,,72413355373425035,648518346477140752,[ 10464 118400   1262]
27,179,2022-08-19 04:55:10.654484+00:00,,t,MN,,72904906528605626,648518346479239887,[25040 87696  2626]
28,207,2022-08-19 04:55:10.678177+00:00,,t,local,,72834744278330934,648518346488600815,[23357 93624  3231]
29,215,2022-08-19 04:55:10.684913+00:00,,t,MN,,72623500204416838,648518346498314906,[16870 88111  2568]
30,216,2022-08-19 04:55:10.685727+00:00,,t,sensory,,72342438215374084,648518346496729980,[  8908 101201   3740]
31,220,2022-08-19 04:55:10.689021+00:00,,t,MN,,72904974979576714,648518346503310971,[26272 89248  2099]
32,230,2022-08-19 04:55:10.697422+00:00,,t,MN,,72904906595745994,648518346478935892,[25819 87882  2781]
33,233,2022-08-19 04:55:10.699988+00:00,,t,sensory,,72342438215371936,648518346490237960,[  9506 101874   3740]
34,238,2022-08-19 04:55:10.704280+00:00,,t,sensory,,72412738105883823,648518346465237877,[10628 99919  3496]
35,239,2022-08-19 04:55:10.705099+00:00,,t,MN,,72904837406552690,648518346497891062,[25490 84658  1913]
36,240,2022-08-19 04:55:10.705916+00:00,,t,sensory,,72342438215365972,648518346494933426,[  9939 101191   3740]
37,262,2022-08-19 04:55:10.724342+00:00,,t,sensory,,72272069471113575,648518346498554608,[  8062 100629   3740]
38,264,2022-08-19 04:55:10.726187+00:00,,t,MN,,72764168906128075,648518346486971900,[20586 86716  2440]
39,269,2022-08-19 04:55:10.730355+00:00,,t,MN,,72482831502613558,648518346494148128,[13693 91905  2685]
40,293,2022-08-19 04:55:10.751281+00:00,,t,descending,,72975412242073923,648518346481850015,[27716 90543  1800]
41,294,2022-08-19 04:55:10.752187+00:00,,t,sensory,,72412806825466503,648518346406112604,[ 11074 101854   3533]
42,301,2022-08-19 04:55:10.758265+00:00,,t,MN,,72623431484616781,648518346479349137,[17136 87039  2450]
43,790,2022-09-06 18:28:34.476927+00:00,,t,local,,73046469254675924,648518346496278630,[ 30118 112422   3751]
44,717,2022-09-06 18:28:33.556687+00:00,,t,local,21A,72272480915474549,648518346495481014,[  7800 113776   2061]
45,719,2022-09-06 18:28:33.581616+00:00,,t,local,9A,73116218785422132,648518346490384394,[31837 92600  2405]
46,721,2022-09-06 18:28:33.606943+00:00,,t,intersegmental,10B,73256750316812823,648518346499842444,[36688 87784  2805]
47,723,2022-09-06 18:28:33.631895+00:00,,t,intersegmental,3A,72554094002563984,648518346492412799,[ 14408 117416   3394]
48,725,2022-09-06 18:28:33.655413+00:00,,t,intersegmental,23B,72554024276625819,648518346482935973,[ 16240 116341   1537]
49,727,2022-09-06 18:28:33.679113+00:00,,t,intersegmental,0A/0B,73117181394837163,648518346497061092,[ 31288 122288   3354]
50,729,2022-09-06 18:28:33.704303+00:00,,t,intersegmental,19A,72413080629489945,648518346465091957,[ 11696 110312   1508]
51,731,2022-09-06 18:28:33.733045+00:00,,t,"ascending, intersegmental",10B-like,73893160048533439,648518346506702370,[ 54272 179256    172]
52,733,2022-09-06 18:28:33.758040+00:00,,t,local,13A,72553269234595732,648518346472722185,[14392 92936  3157]
53,735,2022-09-06 18:28:33.781302+00:00,,t,local,12B/6A,73398587719411182,648518346479677888,[ 39806 119438   3593]
54,737,2022-09-06 18:28:33.805125+00:00,,t,intersegmental,23B,72624530526533127,648518346487770434,[ 18136 119368   1586]
55,739,2022-09-06 18:28:33.829619+00:00,,t,intersegmental,14A,73257369261699105,648518346497880310,[ 36176 104592   3625]
56,741,2022-09-06 18:28:33.854109+00:00,,t,local,13B,73397694231868304,648518346486538116,[40912 92624  3274]
57,743,2022-09-06 18:28:33.879072+00:00,,t,local,20A,72624531667537642,648518346486881761,[ 17720 119208   3787]
58,745,2022-09-06 18:28:33.905218+00:00,,t,intersegmental,3B,72413561666064108,648518346494085367,[ 10640 124624   1507]
59,747,2022-09-06 18:28:33.930180+00:00,,t,intersegmental,7B,73538294147057922,648518346496938029,[44072 89272  3000]
60,749,2022-09-06 18:28:33.954956+00:00,,t,local,9A,73256681463090675,648518346467364359,[36698 85311  2560]
61,751,2022-09-06 18:28:33.979783+00:00,,t,intersegmental,10B,73186450426056929,648518346499432795,[34008 89240  2968]
62,753,2022-09-06 18:28:34.004777+00:00,,t,ascending,12B/6A,73398656438785932,648518346479892980,[ 39200 120872   3552]
63,755,2022-09-06 18:28:34.030675+00:00,,t,local,22A,72272687275692403,648518346474603970,[  7064 118816   2539]
64,757,2022-09-06 18:28:34.055507+00:00,,t,local,4B,73116425547798363,648518346489997619,[31216 98400  3524]
65,759,2022-09-06 18:28:34.081407+00:00,,t,local,24B,72553886770317909,648518346510192422,[ 14554 111993   1354]
66,761,2022-09-06 18:28:34.105618+00:00,,t,intersegmental,0A/0B,73047225303313672,648518346479342780,[ 29616 133472   4103]
67,763,2022-09-06 18:28:34.130983+00:00,,t,local,1B,72413287794707379,648518346495739024,[ 11728 115464   3395]
68,765,2022-09-06 18:28:34.156344+00:00,,t,intersegmental,17A,72483586880055877,648518346488904888,[ 14092 113893   1659]
69,767,2022-09-06 18:28:34.182125+00:00,,t,intersegmental,12B/6A,73328287896057689,648518346499155265,[ 37864 121408   3970]
70,769,2022-09-06 18:28:34.208168+00:00,,t,"ascending, intersegmental",10B,73397556658592652,648518346488551663,[40040 90096  2969]
71,771,2022-09-06 18:28:34.234648+00:00,,t,local,14A,73397831872081018,648518346487925314,[39770 97443  3607]
72,773,2022-09-06 18:28:34.260038+00:00,,t,"ascending, intersegmental",10B-like,73186587663812879,648518346492790969,[32784 92568  2657]
73,775,2022-09-06 18:28:34.285144+00:00,,t,intersegmental,12B/6A,73398656572899623,648518346501501528,[ 40000 120880   3773]
74,777,2022-09-06 18:28:34.310636+00:00,,t,local,9A,73326981420569724,648518346486067652,[37800 82480  2367]
75,779,2022-09-06 18:28:34.337164+00:00,,t,local,8A,72975343723909355,648518346475527296,[27260 88352  2157]
76,781,2022-09-06 18:28:34.362030+00:00,,t,"ascending, intersegmental",10B,74104197628813029,648518346506783522,[ 60358 176482    393]
77,783,2022-09-06 18:28:34.387935+00:00,,t,"ascending, intersegmental",10B,73398793944843518,648518346496990616,[ 39584 125760   3654]
78,724,2022-09-06 18:28:33.643787+00:00,,t,intersegmental,10B,73116219053878055,648518346499141441,[32252 92616  2927]
79,726,2022-09-06 18:28:33.667198+00:00,,t,intersegmental,,72907106021898415,648518346491568958,[ 25560 152184   3593]
80,728,2022-09-06 18:28:33.691225+00:00,,t,local,21A,72272755592306785,648518346507510905,[  6795 121662   1713]
81,730,2022-09-06 18:28:33.718499+00:00,,t,ascending,12B/6A,72765269155907876,648518346477888526,[ 20744 120528   3782]
82,732,2022-09-06 18:28:33.746090+00:00,,t,intersegmental,21A,72272687007069106,648518346478924916,[  6872 118872   1965]
83,734,2022-09-06 18:28:33.769335+00:00,,t,local,8A,72764168905905150,648518346481534309,[22289 87953  2331]
84,736,2022-09-06 18:28:33.793225+00:00,,t,local,21A,72413286788141176,648518346498412564,[ 11848 115312   1500]
85,738,2022-09-06 18:28:33.817231+00:00,,t,intersegmental,8A,72905043497551141,648518346491271969,[24808 91753  1678]
86,740,2022-09-06 18:28:33.841566+00:00,,t,intersegmental,10B,73045850376843483,648518346520296785,[30168 92984  3055]
87,742,2022-09-06 18:28:33.866865+00:00,,t,local,3A,72342987434442952,648518346497059044,[ 10080 118728   2721]
88,744,2022-09-06 18:28:33.892098+00:00,,t,local,20A,72624462947991046,648518346494014475,[ 17208 118216   3745]
89,746,2022-09-06 18:28:33.917987+00:00,,t,local,9A,73256750115409886,648518346478791252,[35789 87284  2424]
90,748,2022-09-06 18:28:33.942814+00:00,,t,intersegmental,18B,72413698970736951,648518346493041582,[ 10544 128208   1211]
91,750,2022-09-06 18:28:33.967631+00:00,,t,local,19B,73961467946700495,648518346489985111,[ 55488 118712   1647]
92,752,2022-09-06 18:28:33.992560+00:00,,t,intersegmental,,73186518608996937,648518346499306561,[33148 91832  2055]
93,754,2022-09-06 18:28:34.017741+00:00,,t,local,19A,72342780806266313,648518346531401754,[  8280 112088   1846]
94,756,2022-09-06 18:28:34.043127+00:00,,t,intersegmental,10B-like,72766917148223877,648518346479174095,[ 21992 168888   1313]
95,758,2022-09-06 18:28:34.068838+00:00,,t,local,22A,72272549702450045,648518346483381182,[  7480 115512   2263]
96,760,2022-09-06 18:28:34.093309+00:00,,t,local,13B,73608663025474041,648518346477765271,[45247 89901  3288]
97,762,2022-09-06 18:28:34.118313+00:00,,t,local,,72342780873548809,648518346499137601,[  8984 112216   2049]
98,764,2022-09-06 18:28:34.143527+00:00,,t,local,9A,73116149931720890,648518346479879156,[30984 91520  2104]
99,766,2022-09-06 18:28:34.169316+00:00,,t,intersegmental,10B,73256887755732528,648518346493825393,[35496 91968  2819]
100,768,2022-09-06 18:28:34.195498+00:00,,t,local,9A,73115737547747733,648518346479847574,[31551 79835  2026]
101,770,2022-09-06 18:28:34.221789+00:00,,t,intersegmental,12A,72413287660406076,648518346499996812,[ 11779 115731   3094]
102,772,2022-09-06 18:28:34.247547+00:00,,t,local,21A,72272618354809716,648518346489964505,[  6904 118256   2136]
103,774,2022-09-06 18:28:34.272588+00:00,,t,"ascending, intersegmental",10B-like,73259978924319888,648518346501459811,[ 35752 182712    515]
104,776,2022-09-06 18:28:34.298067+00:00,,t,"ascending, intersegmental",10B,73397694097693642,648518346494734391,[39984 92656  3031]
105,778,2022-09-06 18:28:34.324042+00:00,,t,local,13A,72482900423309419,648518346477777628,[14312 92192  3010]
106,780,2022-09-06 18:28:34.349798+00:00,,t,local,22A,72272481318143487,648518346465266805,[  8035 113641   2841]
107,782,2022-09-06 18:28:34.375402+00:00,,t,local,22A,72272412330450181,648518346485624851,[  7161 111613   2352]
108,784,2022-09-06 18:28:34.401229+00:00,,t,local,13B,73467994323657215,648518346498006682,[41768 91216  3380]
109,785,2022-09-06 18:28:34.414057+00:00,,t,intersegmental,10B,73256956542122046,648518346488420079,[36672 93360  2861]
110,786,2022-09-06 18:28:34.427792+00:00,,t,intersegmental,10B,73186725371050705,648518346498238290,[34360 96328  3086]
111,787,2022-09-06 18:28:34.439837+00:00,,t,intersegmental,0A/0B,73187412834490290,648518346499958156,[ 32992 117592   3698]
112,788,2022-09-06 18:28:34.451548+00:00,,t,intersegmental,23B,72624461605842338,648518346477233936,[ 17536 118392   1196]
113,789,2022-09-06 18:28:34.464288+00:00,,t,local,21A,72342918647874651,648518346524262149,[  9591 116575   2619]
114,632,2022-09-06 18:28:32.299846+00:00,,t,local,,73116356694131819,648518346500717528,[31643 97147  3269]
115,634,2022-09-06 18:28:32.483062+00:00,,t,local,8A,72834606168458578,648518346499888197,[23252 89497  2031]
116,636,2022-09-06 18:28:32.510673+00:00,,t,"ascending, intersegmental",10B-like,73608731409428444,648518346500711093,[46120 92056  2643]
117,638,2022-09-06 18:28:32.540672+00:00,,t,local,24B,72694692911148989,648518346497123044,[ 18728 113328   1247]
118,640,2022-09-06 18:28:32.567242+00:00,,t,local,23B,72483792769799839,648518346518636630,[ 13800 118976   1066]
119,642,2022-09-06 18:28:32.593316+00:00,,t,"ascending, intersegmental",12B/6A,72835500528056479,648518346491114157,[ 23896 115368   3854]
120,644,2022-09-06 18:28:32.618722+00:00,,t,intersegmental,19A,74312968405620170,648518346501544291,[ 66152 108176   2226]
121,646,2022-09-06 18:28:32.644495+00:00,,t,"ascending, intersegmental",10B-like,73963391420860228,648518346502586791,[ 56640 175656    336]
122,648,2022-09-06 18:28:32.669567+00:00,,t,local,13B,73608731744965663,648518346471931035,[45408 90912  3287]
123,650,2022-09-06 18:28:32.695105+00:00,,t,local,22A,72272618489211882,648518346521544953,[  6872 117408   2435]
124,652,2022-09-06 18:28:32.721894+00:00,,t,local,24B,72553749331447479,648518346490888957,[ 14818 106640   1414]
125,654,2022-09-06 18:28:32.748442+00:00,,t,local,19A,72413080696782882,648518346497743606,[ 11176 110208   1608]
126,656,2022-09-06 18:28:32.773400+00:00,,t,intersegmental,7B,73186587730905892,648518346481537125,[34320 92424  2773]
127,658,2022-09-06 18:28:32.797806+00:00,,t,local,4B,72976100510645787,648518346524171525,[ 26896 112264   3807]
128,660,2022-09-06 18:28:32.822847+00:00,,t,intersegmental,,72272549568079935,648518346509377402,[  7536 115416   1963]
129,662,2022-09-06 18:28:32.848721+00:00,,t,intersegmental,,74032180892211669,648518346480963584,[ 57707 128913   2771]
130,664,2022-09-06 18:28:32.873046+00:00,,t,intersegmental,23B,72554092928909204,648518346480373051,[ 14648 117976   1417]
131,666,2022-09-06 18:28:32.899301+00:00,,t,local,9A,73256750249561934,648518346494200711,[35656 86880  2639]
132,668,2022-09-06 18:28:32.925583+00:00,,t,local,13B,73467994189638372,648518346494600981,[42071 90550  3197]
133,670,2022-09-06 18:28:32.952016+00:00,,t,intersegmental,0A/0B,73117800138742283,648518346481634463,[ 30992 140496   3946]
134,672,2022-09-06 18:28:32.977175+00:00,,t,local,22A,72342849794132027,648518346501117289,[  8896 112912   2351]
135,674,2022-09-06 18:28:33.002136+00:00,,t,local,13A,72764375534193073,648518346494588181,[22259 92507  3253]
136,676,2022-09-06 18:28:33.028439+00:00,,t,local,12B/6A,73539325341843949,648518346494758819,[ 43552 120668   3781]
137,678,2022-09-06 18:28:33.053903+00:00,,t,local,13B,73397831670908465,648518346494495720,[39368 97008  3317]
138,680,2022-09-06 18:28:33.080935+00:00,,t,local,14A,73257575486873810,648518346493052078,[ 35864 110920   3737]
139,682,2022-09-06 18:28:33.107363+00:00,,t,local,9A,73327050140005922,648518346498002535,[37160 84933  2376]
140,684,2022-09-06 18:28:33.133769+00:00,,t,"ascending, intersegmental",12B/6A,73398519067037574,648518346486741892,[ 40160 118608   3705]
141,686,2022-09-06 18:28:33.161167+00:00,,t,local,19A,72342780873344724,648518346500187903,[  8192 111470   1969]
142,688,2022-09-06 18:28:33.188397+00:00,,t,local,22A,72413287727643073,648518346491361313,[ 10584 116496   3283]
143,690,2022-09-06 18:28:33.214943+00:00,,t,local,1B,72342712824936508,648518346502190153,[  9216 110384   3260]
144,692,2022-09-06 18:28:33.244122+00:00,,t,local,13B,73608800598488098,648518346517457476,[45674 93055  3492]
145,694,2022-09-06 18:28:33.269309+00:00,,t,intersegmental,7B,73116081480700071,648518346492602307,[31192 89920  2671]
146,696,2022-09-06 18:28:33.295155+00:00,,t,local,1A,73467993853994280,648518346494229499,[41432 92096  2530]
147,698,2022-09-06 18:28:33.320181+00:00,,t,local,23B,72624530258203327,648518346490909613,[ 18064 120824   1073]
148,700,2022-09-06 18:28:33.346703+00:00,,t,local,21A,72342849525766835,648518346494306039,[  8352 114632   1867]
